Lp,[LABELS],[wegiel],[mangan],[krzem],[fosfor],[siarka],[chrom],[nikiel],[miedz],[magnez],[wytrzym],[wydluz],[tward]
1,"[20,1]",4,0.23,2.4,0.06,0.02,0.03,0.02,0.26,0.04,510,11.4,174
2,"[21,1]",3.9,0.21,2.7,0.06,0.02,0.03,0.02,0.23,0.042,529,17.1,163
3,"[22,1]",3.66,0.26,2.72,0.06,0.01,0.03,0.02,0.25,0.052,504,15.7,170
4,"[23,1]",3.83,0.16,2.85,0.06,0.01,0.03,0.02,0.05,0.047,504,20,163
5,"[24,1]",3.78,0.2,2.68,0.06,0.01,0.02,0.01,0.22,0.035,452,10.7,179
6,"[25,1]",3.72,0.21,2.64,0.07,0.01,0.02,0.01,0.22,0.038,497,13.6,170
7,"[26,1]",3.52,0.23,2.54,0.06,0.02,0.03,0.01,0.19,0.025,471,7.1,187
8,"[27,1]",3.82,0.23,2.56,0.06,0.02,0.03,0.01,0.23,0.033,491,9.3,197
9,"[29,1]",3.68,0.23,2.6,0.06,0.02,0.03,0.02,0.21,0.041,446,8.6,187
10,"[30,1]",3.75,0.23,2.55,0.06,0.02,0.03,0.02,0.2,0.035,491,16.4,163
11,"[31,1]",3.68,0.27,2.63,0.05,0.02,0.03,0.02,0.17,0.047,468,9.3,192
12,"[32,1]",3.7,0.28,2.54,0.06,0.02,0.03,0.02,0.18,0.033,500,11.4,183
13,"[43,1]",3.6,0.21,2.63,0.07,0.01,0.02,0.02,0.2,0.044,510,13.6,183
14,"[44,1]",3.74,0.22,2.76,0.07,0.01,0.03,0.02,0.32,0.048,529,13.6,179
15,"[45,1]",3.72,0.21,2.4,0.06,0.01,0.03,0.01,0.2,0.044,497,15.7,170
16,"[46,1]",3.89,0.21,2.43,0.07,0.02,0.02,0.02,0.2,0.05,516,15.7,170
17,"[47,1]",3.71,0.26,2.49,0.07,0.01,0.03,0.01,0.22,0.032,529,9.3,197
18,"[48,1]",3.71,0.21,2.64,0.07,0.01,0.03,0.01,0.2,0.04,471,7.9,179
19,"[49,1]",3.78,0.29,2.7,0.06,0.02,0.04,0.01,0.19,0.04,446,6.4,179
20,"[50,1]",3.71,0.31,2.78,0.07,0.02,0.04,0.01,0.14,0.04,414,7.1,174
21,"[51,1]",3.75,0.3,2.46,0.06,0.01,0.03,0.01,0.14,0.037,427,7.1,174
22,"[52,1]",3.78,0.29,2.62,0.06,0.01,0.03,0.01,0.14,0.048,504,18.6,174
23,"[53,1]",3.72,0.25,2.46,0.07,0.01,0.05,0.02,0.18,0.046,555,12.1,207
24,"[54,1]",3.65,0.23,2.58,0.07,0.01,0.05,0.02,0.2,0.04,516,12.1,187
25,"[55,1]",3.76,0.25,2.6,0.06,0.01,0.05,0.02,0.22,0.03,459,11.4,179
26,"[56,1]",3.65,0.26,2.49,0.07,0.01,0.04,0.02,0.2,0.035,491,10,183
27,"[57,1]",3.72,0.28,2.5,0.06,0.01,0.05,0.02,0.21,0.035,400,6.4,183
28,"[58,1]",3.66,0.28,2.66,0.07,0.01,0.04,0.02,0.22,0.035,497,11.4,183
29,"[59,1]",3.83,0.21,2.35,0.07,0.01,0.03,0.01,0.36,0.04,535,7.1,229
30,"[60,1]",3.9,0.21,2.35,0.07,0.01,0.03,0.01,0.36,0.039,526,8.6,197
31,"[61,1]",3.83,0.19,2.21,0.07,0.01,0.03,0.01,0.33,0.032,573,7.1,229
32,"[62,1]",3.85,0.2,2.35,0.07,0.01,0.03,0.02,0.36,0.039,414,5.7,197
33,"[63,1]",3.9,0.2,2.27,0.07,0.01,0.03,0.01,0.33,0.05,598,7.9,217
34,"[64,1]",3.8,0.22,2.3,0.07,0.01,0.03,0.01,0.26,0.03,555,17.1,183
35,"[65,1]",3.84,0.21,2.51,0.07,0.01,0.03,0.01,0.26,0.039,433,8.6,167
36,"[66,1]",3.75,0.2,2.3,0.07,0.01,0.03,0.01,0.31,0.047,538,10,187
37,"[67,1]",3.86,0.2,2.27,0.07,0.02,0.03,0.01,0.34,0.049,542,11.4,187
38,"[68,1]",3.62,0.22,2.45,0.07,0.01,0.02,0.01,0.28,0.031,394,8.6,163
39,"[68,13]",3.62,0.22,2.45,0.07,0.01,0.02,0.01,0.28,0.031,446,7.1,174
40,"[69,1]",3.68,0.21,2.29,0.07,0.01,0.02,0.01,0.28,0.037,535,11.4,187
41,"[70,1]",3.72,0.18,2.2,0.06,0.01,0.02,0.01,0.32,0.045,581,10,201
42,"[71,1]",3.78,0.19,2.16,0.07,0.01,0.02,0.01,0.34,0.034,520,11.4,183
43,"[72,1]",3.75,0.16,2.16,0.06,0.01,0.02,0.01,0.33,0.037,642,5.7,201
44,"[73,1]",3.7,0.16,2.33,0.07,0.01,0.02,0.01,0.36,0.037,510,17.1,179
45,"[74,1]",3.74,0.17,2.35,0.07,0.01,0.02,0.01,0.37,0.043,523,8.6,187
46,"[104,1]",3.78,0.15,2.55,0.07,0.01,0.03,0.06,0.06,0.04,468,20.7,167
47,"[105,1]",3.88,0.15,2.45,0.07,0.01,0.02,0.01,0.06,0.039,475,17.1,167
48,"[105,2]",3.76,0.15,2.45,0.07,0.01,0.02,0.01,0.06,0.039,475,17.1,167
49,"[106,1]",3.75,0.14,2.44,0.07,0.01,0.02,0.01,0.05,0.04,475,16.4,170
50,"[107,1]",3.8,0.14,2.48,0.07,0.01,0.02,0.01,0.05,0.04,465,19.3,167
51,"[108,1]",3.76,0.14,2.37,0.07,0.01,0.01,0.01,0.05,0.041,465,19.3,163
52,"[109,1]",3.78,0.12,2.49,0.07,0.01,0.02,0.01,0.11,0.03,402,8.6,159
53,"[110,1]",3.76,0.11,2.33,0.07,0.01,0.02,0.01,0.09,0.03,414,13.6,159
54,"[111,1]",3.69,0.11,2.35,0.07,0.01,0.02,0.01,0.09,0.033,455,18.6,167
55,"[112,1]",3.73,0.11,2.32,0.07,0.01,0.02,0.01,0.09,0.031,465,17.9,167
56,"[113,1]",3.68,0.11,2.57,0.07,0.01,0.02,0.01,0.09,0.035,478,20.7,167
57,"[114,1]",3.71,0.12,2.43,0.07,0.01,0.02,0.01,0.11,0.036,459,20.7,163
58,"[115,1]",3.66,0.11,2.52,0.07,0.01,0.02,0.01,0.05,0.043,465,21.4,167
59,"[116,1]",3.7,0.12,2.46,0.07,0.01,0.02,0.01,0.05,0.036,459,17.1,167
60,"[117,1]",3.72,0.11,2.35,0.07,0.01,0.02,0.01,0.05,0.039,452,20.7,163
61,"[118,1]",3.71,0.11,2.4,0.07,0.01,0.02,0.01,0.05,0.035,452,18.6,163
62,"[119,1]",3.74,0.11,2.4,0.07,0.01,0.02,0.01,0.04,0.03,424,12.8,159
63,"[119,2]",3.65,0.11,2.4,0.07,0.01,0.02,0.01,0.04,0.03,424,12.8,159
64,"[120,1]",3.73,0.11,2.44,0.07,0.01,0.02,0.01,0.05,0.031,421,12.8,159
65,"[120,2]",3.63,0.11,2.44,0.07,0.01,0.02,0.01,0.05,0.031,421,12.8,159
66,"[121,1]",3.6,0.12,2.52,0.07,0.01,0.02,0.01,0.05,0.04,465,20,167
67,"[121,2]",3.61,0.12,2.52,0.07,0.01,0.02,0.01,0.05,0.04,465,20,167
68,"[122,1]",3.65,0.11,2.47,0.06,0.01,0.02,0.01,0.04,0.035,459,20,163
69,"[122,2]",3.58,0.11,2.47,0.06,0.01,0.02,0.01,0.04,0.035,459,20,163
70,"[122,3]",3.74,0.12,2.4,0.06,0.01,0.02,0.01,0.04,0.035,459,20,163
71,"[122,4]",3.57,0.12,2.4,0.06,0.01,0.02,0.01,0.04,0.035,459,20,163
72,"[123,1]",3.68,0.12,2.55,0.06,0.01,0.02,0.01,0.05,0.035,465,21.4,167
73,"[123,2]",3.69,0.12,2.55,0.06,0.01,0.02,0.01,0.05,0.035,465,21.4,167
74,"[125,1]",3.75,0.15,2.2,0.07,0.01,0.02,0.01,0.29,0.041,637,8.6,217
75,"[126,1]",3.7,0.15,2.27,0.07,0.01,0.02,0.01,0.31,0.043,592,10.7,201
76,"[127,1]",3.7,0.17,2.42,0.07,0.01,0.03,0.01,0.31,0.039,586,8.6,197
77,"[128,1]",3.73,0.18,2.5,0.07,0.01,0.03,0.01,0.35,0.04,580,10.7,201
78,"[129,1]",3.74,0.18,2.55,0.07,0.01,0.03,0.01,0.41,0.048,599,10.7,197
79,"[130,1]",3.7,0.21,2.31,0.07,0.01,0.03,0.01,0.29,0.027,446,10,170
80,"[131,1]",3.63,0.18,2.6,0.07,0.01,0.03,0.01,0.34,0.03,516,15,183
81,"[132,1]",3.56,0.16,2.36,0.06,0.01,0.02,0.01,0.28,0.04,529,12.8,187
82,"[133,1]",3.64,0.17,2.4,0.07,0.01,0.03,0.01,0.25,0.036,421,8.6,170
83,"[134,1]",3.66,0.15,2.4,0.07,0.01,0.02,0.01,0.23,0.038,510,13.6,179
84,"[135,1]",3.71,0.16,2.44,0.06,0.01,0.02,0.01,0.24,0.034,427,7.1,170
85,"[136,1]",3.73,0.19,2.33,0.06,0.01,0.02,0.01,0.06,0.04,504,15,179
86,"[137,1]",3.64,0.13,2.4,0.06,0.01,0.02,0.01,0.05,0.037,504,19.3,170
87,"[138,1]",3.68,0.14,2.45,0.06,0.01,0.02,0.01,0.05,0.04,504,20.7,159
88,"[140,1]",3.68,0.13,2.45,0.06,0.01,0.02,0.01,0.04,0.06,446,22.8,163
89,"[141,1]",3.47,0.13,2.47,0.06,0.01,0.02,0.01,0.04,0.055,446,23.6,159
90,"[142,1]",3.75,0.14,2.74,0.06,0.01,0.02,0.01,0.14,0.041,475,21.4,167
91,"[143,1]",3.78,0.12,2.44,0.07,0.01,0.02,0.01,0.11,0.048,446,22.1,159
92,"[144,1]",3.7,0.12,2.4,0.06,0.01,0.02,0.01,0.31,0.03,516,17.1,179
93,"[145,1]",3.72,0.13,2.44,0.06,0.01,0.02,0.01,0.3,0.045,568,13.6,187
94,"[146,1]",3.74,0.15,2.5,0.06,0.01,0.02,0.01,0.08,0.03,504,15.7,170
95,"[147,1]",3.7,0.14,2.45,0.05,0.01,0.02,0.01,0.08,0.031,471,20.7,163
96,"[148,1]",3.77,0.15,2.71,0.06,0.01,0.02,0.01,0.08,0.057,465,23.6,167
97,"[149,1]",3.64,0.2,2.5,0.06,0.01,0.02,0.01,0.08,0.05,489,22.1,167
98,"[150,1]",3.66,0.13,2.35,0.06,0.01,0.02,0.01,0.3,0.047,504,17.1,179
99,"[151,1]",3.76,0.13,2.39,0.05,0.01,0.02,0.01,0.29,0.055,459,20.7,163
100,"[152,1]",3.7,0.11,2.03,0.06,0.01,0.02,0.01,0.32,0.046,555,13.6,192
101,"[153,1]",3.84,0.11,2.34,0.06,0.02,0.02,0.01,0.32,0.047,500,18.6,170
102,"[154,1]",3.52,0.11,2.32,0.06,0.01,0.02,0.01,0.28,0.06,471,20,167
103,"[155,1]",3.66,0.15,2.31,0.05,0.01,0.02,0.01,0.27,0.045,491,20,170
104,"[156,1]",3.68,0.14,2.36,0.06,0.01,0.02,0.01,0.27,0.056,500,19.3,170
105,"[157,1]",3.74,0.15,2.34,0.05,0.01,0.02,0.01,0.29,0.065,452,20,163
106,"[158,1]",3.62,0.12,2.21,0.05,0.01,0.02,0.01,0.28,0.05,446,20,159
107,"[160,1]",3.76,0.13,2.5,0.06,0.01,0.02,0.01,0.32,0.04,500,16.4,174
108,"[161,1]",3.76,0.14,2.42,0.06,0.01,0.02,0.01,0.3,0.046,510,12.8,179
109,"[162,1]",3.69,0.15,2.42,0.06,0.01,0.02,0.01,0.27,0.046,516,13.6,174
110,"[163,1]",3.75,0.15,2.43,0.06,0.01,0.02,0.01,0.26,0.042,475,11.4,167
111,"[164,1]",3.72,0.15,2.38,0.06,0.01,0.02,0.01,0.3,0.04,548,10.7,179
112,"[165,1]",3.78,0.16,2.47,0.05,0.01,0.02,0.01,0.34,0.035,516,15,174
113,"[166,1]",3.79,0.18,2.52,0.05,0.01,0.02,0.01,0.35,0.03,516,15,179
114,"[167,1]",3.74,0.16,2.3,0.05,0.01,0.02,0.01,0.33,0.037,542,15,183
115,"[168,1]",3.76,0.16,2.35,0.05,0.01,0.02,0.01,0.34,0.038,526,14.3,179
116,"[169,1]",3.76,0.15,2.33,0.05,0.01,0.02,0.01,0.27,0.04,504,12.8,179
117,"[170,1]",3.68,0.14,2.36,0.05,0.01,0.02,0.01,0.31,0.045,507,10.5,179
118,"[171,1]",3.69,0.12,2.45,0.06,0.01,0.02,0.01,0.04,0.055,440,21.4,152
119,"[172,1]",3.71,0.14,2.48,0.06,0.01,0.02,0.01,0.04,0.046,465,15,163
120,"[173,1]",3.71,0.11,2.4,0.05,0.01,0.02,0.01,0.04,0.036,497,15,174
121,"[174,1]",3.66,0.12,2.57,0.06,0.01,0.02,0.01,0.04,0.031,484,17.9,159
122,"[175,1]",3.68,0.11,2.45,0.05,0.01,0.02,0.01,0.03,0.051,439,22.8,159
123,"[176,1]",3.62,0.11,2.38,0.05,0.01,0.02,0.01,0.03,0.045,446,22.8,170
124,"[1001,1]",3.58,0.36,2.13,0.05,0.01,0.05,0.03,0.23,0.045,542,10.7,201
125,"[1001,2]",3.56,0.37,2.13,0.05,0.01,0.05,0.03,0.23,0.043,542,10.7,201
126,"[1002,1]",3.64,0.42,2.2,0.05,0.01,0.06,0.03,0.15,0.041,542,8.6,212
127,"[1002,2]",3.66,0.42,2.24,0.05,0.01,0.06,0.03,0.16,0.037,542,8.6,212
128,"[1003,1]",3.59,0.42,2.4,0.05,0.01,0.06,0.03,0.16,0.042,573,10.7,212
129,"[1004,1]",3.66,0.39,2.32,0.05,0.01,0.06,0.03,0.17,0.048,562,10,197
130,"[1004,2]",3.68,0.39,2.37,0.05,0.01,0.06,0.04,0.18,0.049,562,10,197
131,"[1005,1]",3.62,0.33,2.21,0.05,0.01,0.05,0.03,0.21,0.044,562,10,192
132,"[1005,2]",3.61,0.33,2.21,0.05,0.01,0.05,0.02,0.21,0.04,562,10,192
133,"[1006,1]",3.61,0.35,2.2,0.05,0.01,0.05,0.03,0.18,0.055,542,10,201
134,"[1006,2]",3.55,0.35,2.19,0.05,0.01,0.05,0.03,0.18,0.042,542,10,201
135,"[1007,1]",3.57,0.36,2.28,0.05,0.01,0.05,0.03,0.2,0.048,586,14.3,212
136,"[1007,2]",3.6,0.37,2.22,0.05,0.01,0.05,0.03,0.21,0.05,586,14.3,212
137,"[1008,1]",3.63,0.33,2.17,0.05,0.01,0.05,0.02,0.13,0.048,555,10.7,197
138,"[1008,2]",3.61,0.33,2.17,0.05,0.01,0.05,0.02,0.13,0.047,555,10.7,197
139,"[1009,1]",3.61,0.34,2.29,0.05,0.01,0.06,0.03,0.23,0.048,568,12.8,207
140,"[1009,2]",3.64,0.34,2.29,0.05,0.01,0.06,0.03,0.22,0.047,568,12.8,207
141,"[1010,1]",3.64,0.38,2.38,0.05,0.01,0.05,0.03,0.17,0.05,573,10,207
142,"[1010,2]",3.61,0.38,2.35,0.04,0.01,0.05,0.03,0.17,0.051,573,10,207
143,"[1011,1]",3.64,0.31,2.32,0.05,0.01,0.06,0.04,0.22,0.047,500,12.8,201
144,"[1011,2]",3.62,0.31,2.3,0.05,0.01,0.06,0.03,0.21,0.039,500,12.8,201
145,"[1012,1]",3.62,0.34,2.38,0.04,0.01,0.06,0.04,0.21,0.041,548,8.6,163
146,"[1012,2]",3.64,0.34,2.36,0.04,0.01,0.06,0.04,0.21,0.041,548,8.6,163
147,"[1013,1]",3.82,0.18,2.47,0.05,0.01,0.03,0.01,0.07,0.035,452,19.3,156
148,"[1013,2]",3.79,0.19,2.46,0.06,0.01,0.03,0.01,0.07,0.032,452,19.3,156
149,"[1014,1]",3.81,0.2,2.38,0.05,0.01,0.03,0.02,0.07,0.041,459,17.9,156
150,"[1014,2]",3.78,0.2,2.46,0.06,0.01,0.03,0.03,0.07,0.035,459,17.9,156
151,"[1015,1]",3.79,0.21,2.45,0.06,0.01,0.03,0.02,0.07,0.035,465,22.8,163
152,"[1015,2]",3.78,0.21,2.45,0.06,0.01,0.03,0.02,0.07,0.033,465,22.8,163
153,"[1016,1]",3.82,0.2,2.66,0.06,0.01,0.03,0.02,0.07,0.046,446,18.6,163
154,"[1016,2]",3.73,0.2,2.69,0.06,0.01,0.03,0.02,0.08,0.039,446,18.6,163
155,"[1018,1]",3.68,0.31,2.18,0.05,0.02,0.04,0.03,0.46,0.045,478,15.7,163
156,"[1018,2]",3.62,0.33,2.2,0.05,0.01,0.04,0.03,0.48,0.041,478,15.7,163
157,"[1019,1]",3.6,0.24,2.21,0.05,0.01,0.03,0.02,0.47,0.055,720,7.1,241
158,"[1019,2]",3.61,0.25,2.35,0.05,0.01,0.03,0.02,0.52,0.06,720,7.1,241
159,"[1020,1]",3.6,0.31,2.25,0.05,0.01,0.04,0.02,0.49,0.047,771,8.6,255
160,"[1020,2]",3.57,0.31,2.29,0.05,0.01,0.04,0.02,0.5,0.046,771,8.6,255
161,"[1021,1]",3.68,0.27,2.15,0.04,0.01,0.05,0.02,0.4,0.055,733,7.1,241
162,"[1021,2]",3.64,0.28,2.22,0.04,0.01,0.04,0.02,0.42,0.045,733,7.1,241
163,"[1022,1]",3.66,0.41,2.37,0.05,0.01,0.05,0.03,0.17,0.045,562,10,187
164,"[1022,2]",3.66,0.4,2.29,0.05,0.01,0.05,0.03,0.15,0.045,562,10,187
165,"[1023,1]",3.75,0.38,2.32,0.05,0.01,0.04,0.03,0.23,0.055,548,10.7,197
166,"[1023,2]",3.7,0.35,2.38,0.05,0.01,0.04,0.03,0.24,0.051,548,10.7,197
167,"[1024,1]",3.63,0.34,2.15,0.05,0.01,0.04,0.03,0.18,0.04,573,10.7,197
168,"[1024,2]",3.6,0.35,2.2,0.05,0.01,0.04,0.03,0.18,0.04,573,10.7,197
169,"[1025,1]",3.73,0.32,2.07,0.05,0.01,0.04,0.02,0.14,0.053,618,10.7,212
170,"[1025,2]",3.71,0.33,2.19,0.05,0.01,0.04,0.02,0.15,0.054,618,10.7,212
171,"[1026,1]",3.66,0.3,2.33,0.05,0.01,0.06,0.03,0.22,0.048,580,12.1,212
172,"[1026,2]",3.7,0.31,2.43,0.05,0.01,0.07,0.03,0.23,0.05,580,12.1,212
173,"[1027,1]",3.71,0.38,2.33,0.05,0.01,0.05,0.02,0.31,0.056,562,8.6,201
174,"[1027,2]",3.68,0.38,2.34,0.05,0.01,0.05,0.03,0.31,0.057,562,8.6,201
175,"[1028,1]",3.73,0.33,2.3,0.06,0.01,0.03,0.01,0.21,0.052,529,10,197
176,"[1028,2]",3.7,0.33,2.31,0.06,0.01,0.03,0.01,0.21,0.046,529,10,197
177,"[1029,1]",3.54,0.36,2.32,0.05,0.01,0.04,0.02,0.18,0.05,555,10,201
178,"[1029,2]",3.54,0.37,2.37,0.06,0.01,0.04,0.02,0.19,0.045,555,10,201
179,"[1030,1]",3.62,0.35,2.31,0.05,0.01,0.05,0.03,0.22,0.045,555,9.3,201
180,"[1030,2]",3.62,0.36,2.36,0.05,0.01,0.06,0.03,0.23,0.04,555,9.3,201
181,"[1031,1]",3.78,0.37,2.31,0.05,0.01,0.04,0.02,0.26,0.048,624,7.1,212
182,"[1031,2]",3.74,0.37,2.27,0.05,0.01,0.04,0.02,0.25,0.047,624,7.1,212
183,"[1032,1]",3.76,0.34,2.22,0.05,0.01,0.03,0.02,0.16,0.05,555,7.1,197
184,"[1032,2]",3.74,0.35,2.28,0.05,0.01,0.03,0.02,0.17,0.049,555,7.1,197
185,"[1033,1]",3.75,0.37,2.28,0.05,0.01,0.04,0.02,0.19,0.054,548,9.3,197
186,"[1033,2]",3.7,0.37,2.24,0.05,0.01,0.04,0.02,0.18,0.053,548,9.3,197
187,"[1034,1]",3.65,0.35,2.39,0.05,0.01,0.04,0.02,0.22,0.047,548,10,192
188,"[1034,2]",3.64,0.36,2.42,0.05,0.01,0.04,0.02,0.23,0.048,548,10,192
189,"[1035,1]",3.78,0.15,2.45,0.05,0.01,0.02,0.01,0.06,0.046,446,18.6,170
190,"[1035,2]",3.83,0.15,2.54,0.05,0.01,0.02,0.01,0.06,0.041,446,18.6,170
191,"[1036,1]",3.74,0.16,2.67,0.06,0.01,0.02,0.01,0.06,0.039,459,17.1,159
192,"[1036,2]",3.72,0.16,2.68,0.06,0.01,0.02,0.01,0.06,0.035,459,17.1,159
193,"[1037,1]",3.75,0.13,2.3,0.06,0.01,0.02,0.01,0.06,0.039,459,16.8,170
194,"[1037,2]",3.8,0.13,2.34,0.06,0.01,0.02,0.01,0.06,0.045,459,16.8,170
195,"[1038,1]",3.78,0.15,2.6,0.06,0.01,0.02,0.01,0.07,0.039,452,19.3,163
196,"[1038,2]",3.77,0.15,2.73,0.06,0.01,0.03,0.01,0.08,0.037,452,19.3,163
197,"[1039,1]",3.74,0.14,2.58,0.06,0.01,0.02,0.01,0.06,0.035,427,21.4,156
198,"[1039,2]",3.71,0.14,2.66,0.06,0.01,0.02,0.01,0.06,0.03,427,21.4,156
199,"[1040,1]",3.75,0.12,2.48,0.06,0.01,0.02,0.01,0.05,0.033,459,19.3,159
200,"[1040,2]",3.83,0.12,2.48,0.06,0.01,0.02,0.01,0.05,0.032,459,19.3,159
201,"[1041,1]",3.77,0.14,2.55,0.06,0.01,0.02,0.01,0.05,0.038,459,24.3,159
202,"[1041,2]",3.82,0.14,2.59,0.06,0.01,0.02,0.01,0.05,0.035,459,24.3,159
203,"[1042,1]",3.66,0.14,2.98,0.06,0.01,0.02,0.01,0.05,0.035,478,25,170
204,"[1042,2]",3.62,0.14,2.95,0.06,0.01,0.02,0.01,0.05,0.031,478,25,170
205,"[1043,1]",3.8,0.16,2.7,0.06,0.01,0.02,0.01,0.07,0.035,452,22.8,163
206,"[1043,2]",3.78,0.17,2.71,0.06,0.01,0.02,0.01,0.07,0.035,452,22.8,163
207,"[1044,1]",3.7,0.14,2.58,0.06,0.01,0.02,0.01,0.05,0.033,459,17.1,163
208,"[1044,2]",3.73,0.14,2.65,0.06,0.01,0.02,0.01,0.05,0.032,459,17.1,163
209,"[1045,1]",3.83,0.14,2.51,0.06,0.01,0.02,0.01,0.05,0.03,439,25,163
210,"[1045,2]",3.82,0.14,2.52,0.06,0.01,0.02,0.01,0.05,0.028,439,25,163
211,"[1046,1]",3.84,0.15,2.6,0.06,0.01,0.02,0.01,0.06,0.041,446,20.7,163
212,"[1046,2]",3.76,0.15,2.52,0.06,0.01,0.02,0.01,0.06,0.036,446,20.7,163
213,"[1047,1]",3.8,0.17,2.63,0.06,0.01,0.02,0.01,0.08,0.035,452,20.7,163
214,"[1047,2]",3.78,0.17,2.54,0.06,0.01,0.02,0.01,0.07,0.029,452,20.7,163
215,"[1048,1]",3.86,0.16,2.44,0.06,0.01,0.02,0.01,0.07,0.034,439,17.1,163
216,"[1048,2]",3.82,0.16,2.46,0.06,0.01,0.02,0.01,0.07,0.04,439,17.1,163
217,"[1049,1]",3.89,0.14,2.6,0.06,0.01,0.02,0.01,0.06,0.042,465,20,167
218,"[1049,2]",3.83,0.14,2.65,0.06,0.01,0.02,0.01,0.07,0.038,465,20,167
219,"[1050,1]",3.74,0.18,2.6,0.05,0.01,0.02,0.01,0.08,0.034,452,23.6,167
220,"[1050,2]",3.8,0.17,2.62,0.06,0.01,0.02,0.01,0.09,0.038,452,23.6,167
221,"[1051,1]",3.65,0.37,2.25,0.05,0.01,0.03,0.02,0.17,0.05,523,15.7,170
222,"[1051,2]",3.68,0.37,2.28,0.05,0.01,0.03,0.02,0.17,0.047,523,15.7,170
223,"[1052,1]",3.63,0.33,2.33,0.05,0.01,0.04,0.03,0.18,0.04,510,14.3,179
224,"[1052,2]",3.7,0.33,2.33,0.05,0.01,0.04,0.03,0.18,0.033,510,14.3,179
225,"[1053,1]",3.69,0.35,2.34,0.05,0.01,0.1,0.04,0.21,0.046,650,11.4,223
226,"[1053,2]",3.7,0.35,2.29,0.05,0.01,0.1,0.04,0.21,0.045,650,11.4,223
227,"[1054,1]",3.66,0.38,2.39,0.05,0.01,0.07,0.04,0.22,0.042,586,12.1,197
228,"[1054,2]",3.65,0.38,2.41,0.05,0.01,0.07,0.04,0.22,0.042,586,12.1,197
229,"[1055,1]",3.61,0.35,2.44,0.05,0.01,0.06,0.04,0.2,0.053,573,14.3,197
230,"[1055,2]",3.61,0.35,2.48,0.05,0.01,0.06,0.04,0.2,0.053,573,14.3,197
