Lp,[LABELS],[wegiel],[mangan],[krzem],[fosfor],[siarka],[chrom],[nikiel],[miedz],[magnez],[wytrzym],[wydluz],[tward]
686,"[1307,1]",3.7,0.13,2.53,0.05,0.01,0.03,0.02,0.05,0.04,427,23.8,156
687,"[1308,1]",3.79,0.12,2.53,0.05,0.01,0.03,0.01,0.05,0.037,452,24.3,163
688,"[1308,2]",3.78,0.11,2.51,0.05,0.01,0.03,0.01,0.05,0.037,452,24.3,163
689,"[1309,1]",3.82,0.26,2.63,0.04,0.01,0.04,0.03,0.08,0.037,471,22.1,163
690,"[1309,2]",3.77,0.26,2.56,0.04,0.01,0.04,0.02,0.08,0.035,471,22.1,163
691,"[1310,1]",3.84,0.16,2.57,0.05,0.01,0.03,0.02,0.07,0.033,468,22.1,167
692,"[1310,2]",3.8,0.16,2.53,0.05,0.01,0.03,0.01,0.06,0.031,468,22.1,167
693,"[1311,1]",3.79,0.17,2.74,0.05,0.01,0.04,0.02,0.1,0.033,455,22.8,163
694,"[1311,2]",3.79,0.17,2.73,0.05,0.01,0.04,0.02,0.1,0.034,455,22.8,163
695,"[1312,1]",3.9,0.12,2.15,0.04,0.01,0.03,0.01,0.05,0.037,459,21.4,163
696,"[1312,2]",3.85,0.12,2.2,0.04,0.01,0.03,0.01,0.06,0.035,459,21.4,163
697,"[1313,1]",3.58,0.27,2.33,0.04,0.02,0.08,0.07,0.36,0.05,637,7.9,248
698,"[1313,2]",3.6,0.26,2.2,0.04,0.02,0.08,0.06,0.33,0.045,637,7.9,248
699,"[1314,1]",3.86,0.11,2.58,0.05,0.01,0.02,0.01,0.05,0.037,433,20,156
700,"[1314,2]",3.84,0.11,2.51,0.05,0.01,0.02,0.01,0.05,0.037,433,20,156
701,"[1315,1]",3.84,0.16,2.6,0.05,0.01,0.04,0.02,0.09,0.032,478,19.3,163
702,"[1315,2]",3.82,0.16,2.65,0.05,0.01,0.04,0.02,0.09,0.03,478,19.3,163
703,"[1316,1]",3.83,0.15,2.58,0.04,0.01,0.04,0.03,0.08,0.031,446,17.9,156
704,"[1316,2]",3.82,0.15,2.62,0.04,0.01,0.04,0.03,0.09,0.03,446,17.9,156
705,"[1317,1]",3.79,0.19,2.5,0.05,0.01,0.05,0.04,0.11,0.035,452,17.9,156
706,"[1318,1]",3.77,0.18,2.45,0.04,0.01,0.05,0.04,0.11,0.033,448,24.3,156
707,"[1318,2]",3.82,0.18,2.51,0.04,0.01,0.05,0.04,0.12,0.032,448,24.3,156
708,"[1319,1]",3.62,0.32,2.35,0.04,0.01,0.06,0.03,0.21,0.034,586,12.8,217
709,"[1319,2]",3.62,0.32,2.32,0.04,0.01,0.05,0.03,0.2,0.037,586,12.8,217
710,"[1320,1]",3.63,0.37,2.33,0.04,0.01,0.08,0.04,0.14,0.04,632,10.7,217
711,"[1320,2]",3.57,0.37,2.38,0.04,0.01,0.08,0.04,0.14,0.047,632,10.7,217
712,"[1321,1]",3.61,0.35,2.19,0.04,0.01,0.07,0.06,0.19,0.044,573,11.4,217
713,"[1321,2]",3.61,0.35,2.26,0.04,0.01,0.07,0.06,0.19,0.041,573,11.4,217
714,"[1322,1]",3.64,0.36,2.2,0.04,0.01,0.11,0.06,0.11,0.044,624,15.7,197
715,"[1322,2]",3.64,0.37,2.24,0.04,0.01,0.11,0.06,0.11,0.046,624,15.7,197
716,"[1323,1]",3.6,0.35,2.2,0.04,0.01,0.1,0.05,0.11,0.042,618,12.8,223
717,"[1323,2]",3.6,0.35,2.25,0.04,0.01,0.1,0.05,0.11,0.041,618,12.8,223
718,"[1324,1]",3.63,0.36,2.4,0.05,0.01,0.09,0.05,0.13,0.039,562,12.8,197
719,"[1324,2]",3.67,0.36,2.39,0.05,0.01,0.09,0.05,0.14,0.037,562,12.8,197
720,"[1325,1]",3.69,0.37,2.34,0.04,0.01,0.1,0.06,0.14,0.035,555,15,201
721,"[1325,2]",3.63,0.36,2.32,0.04,0.01,0.1,0.06,0.13,0.031,555,15,201
722,"[1326,1]",3.64,0.37,2.32,0.04,0.01,0.07,0.05,0.11,0.043,555,15,197
723,"[1326,2]",3.65,0.36,2.26,0.04,0.01,0.07,0.05,0.11,0.045,555,15,197
724,"[1327,1]",3.61,0.33,2.29,0.04,0.01,0.1,0.06,0.11,0.042,562,14.3,201
725,"[1327,2]",3.62,0.33,2.23,0.04,0.01,0.1,0.06,0.11,0.042,562,14.3,201
726,"[1328,1]",3.87,0.16,2.38,0.05,0.01,0.04,0.02,0.06,0.035,459,18.6,159
727,"[1328,2]",3.83,0.16,2.38,0.05,0.01,0.04,0.02,0.06,0.037,459,18.6,159
728,"[1329,1]",3.73,0.15,2.44,0.04,0.01,0.04,0.03,0.08,0.026,478,20,163
729,"[1330,1]",3.7,0.17,2.58,0.05,0.01,0.05,0.03,0.08,0.035,471,22.1,163
730,"[1330,2]",3.73,0.17,2.6,0.05,0.01,0.05,0.03,0.08,0.036,471,22.1,163
731,"[1331,1]",3.67,0.3,2.25,0.04,0.01,0.07,0.05,0.52,0.051,777,7.1,255
732,"[1331,2]",3.69,0.3,2.2,0.04,0.01,0.07,0.05,0.5,0.055,777,7.1,255
733,"[1333,1]",3.72,0.29,2.37,0.05,0.01,0.07,0.04,0.55,0.045,707,7.1,241
734,"[1333,2]",3.72,0.29,2.4,0.04,0.01,0.07,0.04,0.54,0.046,707,7.1,241
735,"[1334,1]",3.84,0.14,2.5,0.05,0.01,0.04,0.02,0.07,0.032,484,17.1,163
736,"[1334,2]",3.84,0.14,2.5,0.05,0.01,0.04,0.02,0.07,0.031,484,17.1,163
737,"[1335,1]",3.8,0.12,2.69,0.05,0.01,0.04,0.02,0.07,0.039,459,21.4,163
738,"[1335,2]",3.75,0.12,2.69,0.05,0.01,0.04,0.02,0.07,0.035,459,21.4,163
739,"[1336,1]",3.74,0.11,2.5,0.06,0.01,0.04,0.02,0.06,0.034,465,21.4,167
740,"[1336,2]",3.76,0.12,2.49,0.05,0.01,0.04,0.02,0.06,0.04,465,21.4,167
741,"[1337,1]",3.85,0.11,2.56,0.05,0.01,0.03,0.02,0.06,0.038,439,22.8,163
742,"[1337,2]",3.83,0.11,2.6,0.05,0.01,0.04,0.02,0.07,0.04,439,22.8,163
743,"[1338,1]",3.7,0.11,2.68,0.05,0.01,0.03,0.02,0.06,0.036,459,22.8,163
744,"[1339,1]",3.79,0.12,2.69,0.05,0.01,0.03,0.02,0.06,0.036,433,22.8,156
745,"[1339,2]",3.75,0.12,2.73,0.05,0.01,0.03,0.02,0.07,0.037,433,22.8,156
746,"[1340,1]",3.8,0.13,2.56,0.05,0.01,0.04,0.03,0.06,0.03,446,20,163
747,"[1340,2]",3.79,0.13,2.61,0.05,0.01,0.04,0.03,0.06,0.03,446,20,163
748,"[1341,1]",3.76,0.1,2.53,0.01,0.021,0.04,0.02,0.04,0.035,433,23.5,156
749,"[1341,2]",3.76,0.1,2.53,0.01,0.021,0.04,0.02,0.04,0.036,433,23.5,156
750,"[1342,1]",3.75,0.09,2.62,0.05,0.01,0.03,0.02,0.03,0.046,433,22.1,153
751,"[1342,2]",3.74,0.09,2.6,0.05,0.01,0.02,0.01,0.03,0.044,433,22.1,153
752,"[1344,1]",3.5,0.31,2.44,0.06,0.01,0.06,0.04,0.43,0.046,562,14.3,201
753,"[1344,2]",3.59,0.32,2.49,0.06,0.01,0.06,0.04,0.43,0.049,562,14.3,201
754,"[1345,1]",3.68,0.33,2.19,0.06,0.01,0.04,0.03,0.16,0.046,586,15.7,201
755,"[1345,2]",3.7,0.34,2.18,0.06,0.01,0.04,0.03,0.16,0.048,586,15.7,201
756,"[1346,1]",3.54,0.35,2.34,0.04,0.01,0.11,0.04,0.12,0.043,568,13.9,207
757,"[1346,2]",3.57,0.36,2.36,0.04,0.01,0.11,0.04,0.13,0.04,568,13.9,207
758,"[1347,1]",3.61,0.25,2.16,0.04,0.01,0.12,0.04,0.15,0.042,637,10.7,223
759,"[1347,2]",3.64,0.25,2.2,0.04,0.01,0.12,0.04,0.15,0.039,637,10.7,223
760,"[1348,1]",3.7,0.11,2.74,0.05,0.01,0.03,0.02,0.05,0.03,455,21.4,163
761,"[1348,2]",3.67,0.11,2.76,0.05,0.01,0.03,0.02,0.05,0.029,455,21.4,163
762,"[1349,1]",3.79,0.19,2.51,0.05,0.01,0.05,0.02,0.08,0.039,452,20.7,159
763,"[1349,2]",3.81,0.2,2.48,0.05,0.01,0.05,0.02,0.08,0.041,452,20.7,159
764,"[1350,1]",3.77,0.16,2.51,0.05,0.01,0.05,0.02,0.09,0.03,452,15,163
765,"[1350,2]",3.8,0.16,2.54,0.05,0.02,0.05,0.02,0.09,0.037,452,15,163
766,"[1351,1]",3.8,0.13,2.65,0.05,0.01,0.03,0.02,0.06,0.034,446,20,163
767,"[1352,1]",3.79,0.15,2.51,0.05,0.01,0.05,0.03,0.09,0.046,446,19.3,163
768,"[1352,2]",3.71,0.15,2.47,0.05,0.01,0.05,0.03,0.09,0.039,446,19.3,163
769,"[1353,1]",3.75,0.15,2.55,0.05,0.01,0.04,0.02,0.07,0.033,471,20,174
770,"[1353,2]",3.72,0.15,2.48,0.05,0.01,0.04,0.02,0.07,0.035,471,20,174
771,"[1354,1]",3.6,0.37,2.5,0.04,0.01,0.09,0.05,0.1,0.033,510,15.7,183
772,"[1354,2]",3.67,0.37,2.52,0.05,0.01,0.09,0.05,0.1,0.04,510,15.7,183
773,"[1355,1]",3.88,0.14,2.47,0.05,0.01,0.04,0.02,0.06,0.036,478,17.6,159
774,"[1355,2]",3.85,0.14,2.5,0.05,0.01,0.04,0.02,0.06,0.034,478,17.6,159
775,"[1356,1]",3.66,0.26,2.38,0.04,0.01,0.07,0.05,0.45,0.041,637,8.6,229
776,"[1356,2]",3.72,0.26,2.3,0.05,0.01,0.07,0.05,0.42,0.045,637,8.6,229
777,"[1357,1]",3.81,0.13,2.45,0.06,0.01,0.04,0.02,0.08,0.032,465,17.6,163
778,"[1357,2]",3.82,0.13,2.47,0.06,0.01,0.04,0.02,0.08,0.032,465,17.6,163
779,"[1358,1]",3.63,0.37,2.38,0.05,0.01,0.06,0.03,0.19,0.04,573,11.1,197
780,"[1358,2]",3.69,0.37,2.34,0.05,0.01,0.06,0.03,0.18,0.041,573,11.1,197
781,"[1359,1]",3.67,0.39,2.42,0.05,0.01,0.06,0.03,0.13,0.035,548,11.4,187
782,"[1359,2]",3.66,0.38,2.4,0.05,0.01,0.06,0.03,0.13,0.04,548,11.4,187
783,"[1360,1]",3.64,0.35,2.46,0.05,0.01,0.06,0.03,0.11,0.034,548,11.4,187
784,"[1360,2]",3.6,0.35,2.45,0.05,0.01,0.06,0.03,0.11,0.035,548,11.4,187
785,"[1361,1]",3.81,0.13,2.63,0.05,0.01,0.03,0.01,0.05,0.032,439,20.7,163
786,"[1361,2]",3.8,0.13,2.63,0.05,0.01,0.03,0.01,0.05,0.035,439,20.7,163
787,"[1362,1]",3.87,0.15,2.4,0.05,0.01,0.04,0.02,0.08,0.03,500,20.7,170
788,"[1362,2]",3.87,0.15,2.45,0.05,0.01,0.04,0.03,0.09,0.033,500,20.7,170
789,"[1363,1]",3.64,0.28,2.33,0.05,0.01,0.1,0.04,0.36,0.044,637,7.9,229
790,"[1363,2]",3.74,0.28,2.38,0.05,0.01,0.1,0.04,0.36,0.049,637,7.9,229
791,"[1364,1]",3.65,0.27,2.23,0.05,0.01,0.11,0.06,0.38,0.049,707,7.1,255
792,"[1364,2]",3.74,0.27,2.24,0.05,0.01,0.11,0.06,0.38,0.048,707,7.1,255
793,"[1365,1]",3.63,0.27,2.24,0.049,0.013,0.11,0.06,0.38,0.045,682,7.1,255
794,"[1365,2]",3.59,0.28,2.22,0.05,0.01,0.11,0.07,0.38,0.042,682,7.1,255
795,"[1366,1]",3.63,0.27,2.23,0.05,0.012,0.11,0.06,0.37,0.046,720,7.1,248
796,"[1366,2]",3.6,0.27,2.24,0.05,0.01,0.11,0.06,0.38,0.05,720,7.1,248
797,"[1367,1]",3.61,0.27,2.27,0.051,0.013,0.09,0.06,0.38,0.037,605,7.9,241
798,"[1367,2]",3.53,0.27,2.18,0.05,0.01,0.09,0.05,0.38,0.033,605,7.9,241
799,"[1368,1]",3.55,0.27,2.26,0.049,0.012,0.09,0.06,0.39,0.042,668,7.1,241
800,"[1368,2]",3.55,0.27,2.22,0.05,0.01,0.09,0.06,0.39,0.035,668,7.1,241
801,"[1369,1]",3.66,0.27,2.3,0.05,0.01,0.06,0.04,0.43,0.048,688,7.1,241
802,"[1369,2]",3.67,0.27,2.26,0.05,0.01,0.06,0.04,0.42,0.046,688,7.1,241
803,"[1370,1]",3.52,0.27,2.36,0.05,0.01,0.06,0.04,0.63,0.034,701,7.1,241
804,"[1370,2]",3.58,0.27,2.34,0.05,0.01,0.05,0.04,0.62,0.038,701,7.1,241
805,"[1371,1]",3.61,0.29,2.18,0.05,0.02,0.07,0.05,0.62,0.046,701,7.1,235
806,"[1371,2]",3.61,0.29,2.16,0.05,0.02,0.07,0.05,0.62,0.048,701,7.1,235
807,"[1372,1]",3.65,0.37,2.25,0.05,0.02,0.1,0.07,0.18,0.038,565,12.8,197
808,"[1372,2]",3.68,0.37,2.3,0.05,0.02,0.1,0.07,0.18,0.04,565,12.8,197
809,"[1373,1]",3.58,0.39,2.28,0.05,0.02,0.12,0.07,0.17,0.027,505,7.1,187
810,"[1373,2]",3.65,0.4,2.32,0.05,0.02,0.12,0.07,0.17,0.027,505,7.1,187
811,"[1374,1]",3.57,0.36,2.25,0.05,0.01,0.06,0.04,0.09,0.042,701,7.1,262
812,"[1374,2]",3.6,0.36,2.3,0.05,0.01,0.06,0.04,0.09,0.045,701,7.1,262
813,"[1375,1]",3.72,0.28,2.41,0.05,0.01,0.08,0.05,0.35,0.04,643,8.6,217
814,"[1375,2]",3.72,0.29,2.45,0.05,0.01,0.08,0.05,0.36,0.046,643,8.6,217
815,"[1376,1]",3.83,0.14,2.58,0.05,0.01,0.03,0.02,0.08,0.035,512,18,156
816,"[1376,2]",3.81,0.14,2.59,0.05,0.01,0.03,0.02,0.08,0.035,512,18,156
817,"[1377,1]",3.85,0.14,2.54,0.05,0.01,0.03,0.01,0.05,0.038,459,21.7,163
818,"[1379,1]",3.79,0.14,2.45,0.07,0.01,0.04,0.02,0.06,0.026,478,17.1,163
819,"[1379,2]",3.78,0.14,2.41,0.07,0.01,0.04,0.02,0.06,0.027,478,17.1,163
820,"[2001,1]",3.85,0.18,2.46,0.05,0.01,0.03,0.02,0.06,0.04,446,24.3,159
821,"[2001,2]",3.85,0.18,2.5,0.05,0.01,0.03,0.02,0.06,0.04,446,24.3,159
822,"[2002,1]",3.78,0.23,2.47,0.05,0.01,0.05,0.03,0.1,0.03,459,22.1,163
823,"[2002,2]",3.8,0.23,2.46,0.05,0.01,0.05,0.03,0.1,0.03,459,22.1,163
824,"[2003,1]",3.86,0.19,2.61,0.05,0.01,0.04,0.02,0.12,0.037,446,24.3,152
825,"[2003,2]",3.9,0.19,2.55,0.05,0.01,0.04,0.02,0.12,0.042,446,24.3,152
826,"[2004,1]",3.87,0.15,2.58,0.05,0.01,0.03,0.01,0.05,0.03,420,23.3,159
827,"[2004,2]",3.86,0.15,2.5,0.05,0.01,0.03,0.01,0.05,0.03,420,23.3,159
828,"[2005,1]",3.9,0.15,2.48,0.05,0.01,0.03,0.01,0.05,0.037,430,22,156
829,"[2005,2]",3.78,0.15,2.42,0.05,0.01,0.02,0.01,0.04,0.035,430,22,156
830,"[2006,1]",3.8,0.13,2.51,0.054,0.008,0.03,0.01,0.06,0.035,452,24.3,163
831,"[2006,2]",3.89,0.13,2.55,0.057,0.009,0.03,0.01,0.06,0.034,452,24.3,163
832,"[2007,1]",3.75,0.17,2.63,0.056,0.01,0.03,0.01,0.07,0.045,452,24.3,159
833,"[2007,2]",3.94,0.16,2.51,0.054,0.013,0.03,0.01,0.06,0.046,425,24.3,159
834,"[2008,1]",3.74,0.16,2.53,0.055,0.011,0.03,0.01,0.06,0.038,452,24.3,163
835,"[2008,2]",3.65,0.16,2.56,0.058,0.01,0.03,0.01,0.06,0.036,452,24.3,163
836,"[2009,1]",3.69,0.28,2.31,0.048,0.013,0.09,0.03,0.38,0.04,650,9.3,248
837,"[2009,2]",3.75,0.28,2.33,0.05,0.014,0.09,0.03,0.38,0.045,650,9.3,248
838,"[2010,1]",3.75,0.36,2.42,0.046,0.013,0.08,0.03,0.18,0.048,568,12.1,197
839,"[2011,1]",3.65,0.38,2.23,0.046,0.014,0.09,0.03,0.16,0.039,573,12.1,179
840,"[2011,2]",3.68,0.39,2.26,0.049,0.014,0.1,0.03,0.16,0.041,573,12.1,179
841,"[2012,1]",3.83,0.17,2.51,0.053,0.015,0.05,0.02,0.06,0.038,446,20,159
842,"[2013,1]",3.89,0.15,2.45,0.055,0.017,0.04,0.01,0.07,0.037,497,15.7,170
843,"[2013,2]",3.86,0.15,2.35,0.056,0.018,0.04,0.01,0.06,0.035,497,15.7,170
844,"[2014,1]",3.79,0.16,2.57,0.056,0.012,0.04,0.01,0.06,0.033,478,20,163
845,"[2014,2]",3.82,0.15,2.52,0.056,0.012,0.04,0.01,0.06,0.031,478,20,163
846,"[2015,1]",3.8,0.12,2.58,0.055,0.007,0.02,0.01,0.05,0.034,446,24.3,156
847,"[2015,2]",3.79,0.12,2.57,0.058,0.011,0.03,0.01,0.04,0.036,446,24.3,156
848,"[2016,1]",3.76,0.12,2.55,0.056,0.01,0.03,0.01,0.04,0.035,443,24.3,159
849,"[2016,2]",3.75,0.12,2.62,0.057,0.01,0.03,0.01,0.05,0.03,443,24.3,159
850,"[2017,1]",3.77,0.1,2.5,0.053,0.013,0.02,0,0.03,0.037,439,24.3,159
851,"[2017,2]",3.76,0.1,2.62,0.056,0.011,0.02,0,0.04,0.034,439,24.3,159
852,"[2018,1]",3.7,0.12,2.66,0.058,0.012,0.02,0.01,0.04,0.04,452,24.3,159
853,"[2018,2]",3.74,0.12,2.7,0.059,0.013,0.02,0.01,0.04,0.044,452,24.3,159
854,"[2019,1]",3.71,0.11,2.48,0.058,0.013,0.02,0.01,0.04,0.034,452,24.3,159
855,"[2019,2]",3.79,0.12,2.42,0.058,0.012,0.02,0.01,0.04,0.031,452,24.3,159
856,"[2020,1]",3.86,0.13,2.65,0.061,0.012,0.03,0.01,0.05,0.035,471,24.3,163
857,"[2020,2]",3.77,0.13,2.65,0.061,0.012,0.03,0.01,0.04,0.032,471,24.3,163
858,"[2021,1]",3.73,0.11,2.42,0.054,0.011,0.02,0,0.03,0.034,439,20,163
859,"[2021,2]",3.82,0.12,2.5,0.057,0.012,0.02,0,0.04,0.038,439,20,163
860,"[2022,1]",3.72,0.13,2.65,0.053,0.007,0.03,0.01,0.05,0.034,459,20,163
861,"[2022,2]",3.8,0.13,2.69,0.056,0.009,0.03,0.01,0.05,0.031,459,20,163
862,"[2023,1]",3.87,0.12,2.46,0.054,0.01,0.03,0,0.05,0.04,452,24.3,159
863,"[2023,2]",3.85,0.12,2.46,0.054,0.01,0.03,0,0.05,0.039,452,24.3,159
864,"[2024,1]",3.88,0.16,2.63,0.052,0.016,0.04,0.02,0.06,0.042,452,22.8,163
865,"[2024,2]",3.89,0.16,2.65,0.053,0.016,0.04,0.02,0.06,0.044,452,22.8,163
866,"[2025,1]",3.66,0.18,2.31,0.049,0.016,0.04,0.02,0.06,0.033,700,7.1,241
867,"[2026,1]",3.69,0.15,2.7,0.055,0.014,0.03,0.01,0.05,0.028,471,17.1,167
868,"[2026,2]",3.73,0.15,2.74,0.058,0.012,0.03,0.02,0.05,0.033,471,17.1,167
869,"[2028,1]",3.83,0.16,2.6,0.057,0.011,0.03,0.01,0.05,0.034,459,20,159
870,"[2028,2]",3.82,0.16,2.62,0.058,0.013,0.02,0.01,0.05,0.036,459,20,159
871,"[2029,1]",3.78,0.14,2.57,0.058,0.011,0.02,0,0.04,0.037,452,23.6,163
872,"[2029,2]",3.81,0.14,2.62,0.059,0.012,0.02,0,0.04,0.038,452,23.6,163
873,"[2031,1]",3.64,0.11,2.66,0.056,0.008,0.02,0,0.03,0.041,446,23.6,167
874,"[2031,2]",3.74,0.11,2.6,0.058,0.009,0.02,0,0.03,0.04,446,23.6,167
875,"[2032,1]",3.79,0.13,2.64,0.057,0.008,0.03,0,0.04,0.032,516,15,170
876,"[2032,2]",3.83,0.13,2.64,0.06,0.01,0.03,0,0.04,0.035,516,15,170
877,"[2033,1]",3.81,0.12,2.61,0.058,0.016,0.03,0.02,0.06,0.043,446,23.6,163
878,"[2033,2]",3.72,0.12,2.67,0.056,0.015,0.03,0.02,0.06,0.042,446,23.6,163
879,"[2034,1]",3.79,0.12,2.6,0.054,0.016,0.03,0.02,0.06,0.03,459,24.3,163
880,"[2034,2]",3.8,0.12,2.69,0.057,0.011,0.03,0.02,0.06,0.032,459,24.3,163
881,"[2035,1]",3.87,0.14,2.59,0.052,0.013,0.03,0.02,0.06,0.042,446,21.4,156
882,"[2035,2]",3.87,0.14,2.63,0.054,0.012,0.03,0.02,0.06,0.042,446,21.4,156
883,"[2036,1]",3.76,0.11,2.54,0.057,0.011,0.03,0,0.04,0.04,490,29,159
884,"[2036,2]",3.81,0.12,2.58,0.059,0.014,0.03,0.01,0.04,0.041,490,29,159
885,"[2037,1]",3.86,0.09,2.41,0.058,0.008,0.02,0.01,0.03,0.03,480,18.3,159
886,"[2037,2]",3.88,0.09,2.5,0.057,0.01,0.02,0.01,0.03,0.036,480,18.3,159
887,"[2038,1]",3.85,0.11,2.69,0.058,0.009,0.02,0.01,0.03,0.037,480,19.3,156
888,"[2039,1]",3.82,0.09,2.5,0.057,0.008,0.02,0,0.03,0.037,382,7.1,156
889,"[2039,2]",3.86,0.09,2.58,0.061,0.006,0.02,0,0.03,0.038,382,7.1,156
890,"[2040,1]",3.83,0.09,2.58,0.059,0.006,0.02,0,0.03,0.038,480,17.7,156
891,"[2040,2]",3.83,0.09,2.56,0.06,0.007,0.02,0,0.03,0.04,480,17.7,156
892,"[2041,1]",3.8,0.1,2.63,0.053,0.005,0.02,0,0.03,0.038,446,20.7,159
893,"[2041,2]",3.85,0.1,2.66,0.057,0.006,0.02,0,0.03,0.037,446,20.7,159
894,"[2042,1]",3.78,0.09,2.58,0.057,0.007,0.02,0,0.03,0.04,446,24.3,159
895,"[2042,2]",3.79,0.09,2.58,0.059,0.008,0.02,0,0.03,0.041,446,24.3,159
896,"[2043,1]",3.85,0.14,2.5,0.053,0.01,0.03,0.02,0.06,0.037,446,20.7,159
897,"[2043,2]",3.83,0.14,2.55,0.057,0.009,0.03,0.02,0.06,0.037,446,20.7,159
898,"[2044,1]",3.87,0.11,2.61,0.06,0.009,0.03,0.02,0.06,0.042,452,19.3,159
899,"[2044,2]",3.89,0.11,2.57,0.059,0.009,0.03,0.02,0.06,0.039,452,19.3,159
900,"[2045,1]",3.84,0.15,2.62,0.055,0.012,0.04,0.02,0.06,0.033,573,15,212
901,"[2045,2]",3.8,0.14,2.52,0.052,0.012,0.04,0.02,0.06,0.037,573,15,212
902,"[2047,1]",3.83,0.12,2.61,0.056,0.011,0.03,0.01,0.05,0.042,478,15.7,174
903,"[2047,2]",3.78,0.12,2.56,0.056,0.012,0.03,0.02,0.05,0.036,478,15.7,174
904,"[2048,1]",3.75,0.12,2.56,0.054,0.012,0.03,0.01,0.05,0.04,446,20,163
905,"[2049,1]",3.79,0.12,2.55,0.055,0.011,0.03,0.01,0.05,0.038,459,20,163
906,"[2049,2]",3.78,0.12,2.54,0.055,0.011,0.03,0.01,0.05,0.038,459,20,163
907,"[2050,1]",3.87,0.12,2.63,0.054,0.012,0.03,0,0.04,0.032,465,20,201
908,"[2050,2]",3.86,0.12,2.62,0.054,0.012,0.03,0,0.04,0.035,465,20,201
909,"[2051,1]",3.79,0.1,2.46,0.056,0.01,0.02,0,0.04,0.033,459,18.6,197
910,"[2051,2]",3.81,0.1,2.44,0.057,0.01,0.02,0,0.04,0.031,459,18.6,197
,,,,,,,,,,,,,
,[LIMITS],>,>,>,>,>,>,>,>,>,<,<,<
,[highs],4,0.42,2.98,0.07,0.021,0.12,0.07,0.7,0.065,860,29,311
,[lows],3.47,0.09,2.03,0.01,0.005,0.01,0,0.03,0.024,382,5.7,152
,[END],,,,,,,,,,,,
,,3.47,0.09,2.00,0.01,0.005,0.01,0,0.03,0.024,382,5.7,152
